4	8	4	11   1   1
7	20	4	12   1   1
5	18	4	11   1   1
7	22	2	7    1   0
9	18	3	10   1   0
14	45	0	5    0   0
1	2	5	11   0   0
4	11	2	18   0   0
2	6	1	7    0   0
0	4	0	5    0   0
1	5	3	5    0   0
3	8	2	6    0   0
0	1	1	7    0   0
1	1	3	8    0   0
2	6	3	7    0   0
3	9	3	10   0   0
4	15 	0	3    0   0
4	9	0	2    0   0
1	3	2	4    0   0
4	8   0   0    0   0		
1	5   0   0    0   0		
5	11  0   0    0   0		
